cbsa,metro_name,year,hpi,appreciation_rate,pop_growth_rate,unemployment_rate,poverty_rate,median_income,pct_bachelors_plus,vacancy_rate,homeownership_rate,mortgage_rate
19740,"Denver-Aurora-Centennial, CO",2015,382.13,11.992614518917977,2.181059290741816,4.525167369204067,10.279342954402694,70283.0,41.84142017754304,5.015237550409277,62.938473992930696,3.8475
19740,"Denver-Aurora-Centennial, CO",2016,424.54,11.098317326564256,1.3767752893228513,3.991350431636414,9.430647857774282,71926.0,42.49333404218774,5.003959723950673,63.79484247932567,3.6550000000000002
19740,"Denver-Aurora-Centennial, CO",2017,464.89,9.504404767513064,1.2320032021568394,3.33713141673388,8.617854256902314,76643.0,43.949160635932536,5.765659661176414,64.13835577043078,3.9875
19740,"Denver-Aurora-Centennial, CO",2018,494.68,6.407967476177157,1.5299351470642764,3.398198660736731,7.9670268056433,79478.0,44.7792473211602,5.364340722165577,63.10276557569758,4.5425
19740,"Denver-Aurora-Centennial, CO",2019,520.49,5.217514352712871,1.1875536034292589,3.313843009688555,7.918323601506063,85641.0,45.785358741618246,5.251678197207184,64.26313519723512,3.935
19740,"Denver-Aurora-Centennial, CO",2021,677.11,17.439642014707935,0.08978043224694421,5.402294117749401,8.391794955558279,90716.0,47.83042512841528,5.763960307754817,65.34501227647958,2.9575
19740,"Denver-Aurora-Centennial, CO",2022,701.57,3.6124115727134587,0.44755929807469563,3.312867000620914,8.331611201624025,98975.0,49.41065668738756,5.205827267136264,64.53520723959717,5.3425
19740,"Denver-Aurora-Centennial, CO",2023,724.62,3.2854882620408477,0.6450379135602313,3.550749040680551,8.638975792673456,103055.0,49.93917093201523,5.1351005347935885,63.09608440872524,6.805
19740,"Denver-Aurora-Centennial, CO",2024,734.89,1.4172945819878047,1.5101171962220716,4.187444694152785,8.493006983732915,108046.0,51.64854997778357,4.736649570127675,63.85707716303494,6.7225
19780,"Des Moines-West Des Moines, IA",2012,181.43,1.5618002686968335,1.785834636620498,5.650893551369255,12.270374153782225,59157.0,35.043621689471664,6.154260045816587,70.98354674496586,3.655
19780,"Des Moines-West Des Moines, IA",2013,192.55,6.129085597751205,1.8319216161657215,5.177632063655787,11.01595349461954,61194.0,35.379830353501966,6.097678605877436,69.07902621081645,3.975
19780,"Des Moines-West Des Moines, IA",2014,198.55,3.1160737470786737,1.9606895091440535,4.492194290880011,12.035207742366094,62446.0,36.07500379095788,7.453906728910266,68.35785406449696,4.1725
19780,"Des Moines-West Des Moines, IA",2015,212.16,6.854696549987405,1.8559428598525995,4.834665797271214,10.69603230176233,62024.0,35.13217390879964,6.22355512158832,68.37147036219848,3.8475
19780,"Des Moines-West Des Moines, IA",2016,220.48,3.9215686274509665,1.8985421392553103,4.284213283906242,9.547528962673187,65704.0,36.699402729968064,6.720918045735204,69.40722919032906,3.6550000000000002
19780,"Des Moines-West Des Moines, IA",2017,231.49,4.993650217706835,1.7623380204025318,3.2061432162195085,8.305383407831442,68649.0,36.58666879098788,7.278613315574302,70.58201522672498,3.9875
19780,"Des Moines-West Des Moines, IA",2018,241.5,4.324160870879945,1.4704812272898327,3.27579903193945,9.304284315706049,71352.0,38.89370153118822,7.637960941092968,69.61635725627806,4.5425
19780,"Des Moines-West Des Moines, IA",2019,248.57,2.9275362318840648,6.695513793676922,4.185609029628468,8.668576864081249,71164.0,37.98738175755316,5.687902851023418,69.08796812066159,3.935
19780,"Des Moines-West Des Moines, IA",2021,301.38,11.642896832746818,1.4195786595585291,3.579320045353879,8.832570511402627,74208.0,38.18114882473944,5.572925112703921,69.34950385887542,2.9575
19780,"Des Moines-West Des Moines, IA",2022,323.14,7.220120777755645,1.3776062162620617,3.2879286049788634,8.93075212871225,80061.0,41.068044894840455,5.721276980643442,70.9758971251599,5.3425
19780,"Des Moines-West Des Moines, IA",2023,344.31,6.551339976480786,1.1125391432447396,3.0910285726756666,10.242258501146376,82728.0,39.80929292929293,6.538594637061701,69.14978784725002,6.805
19780,"Des Moines-West Des Moines, IA",2024,359.8,4.498852778019802,2.2720859944327154,3.5755893157454643,8.689660199285681,85446.0,41.5854104634652,5.485203535906169,68.34979935089854,6.7225
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2012,130.06,15.424210152644658,0.1453160086536398,12.22852748783884,17.43284509448816,50310.0,28.23723986388453,12.58972268619698,69.04744400258835,3.655
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2013,145.32,11.733046286329385,0.0681024962372323,10.40106143720174,16.875407284666203,51857.0,28.971518443988103,12.174398507570997,68.58785888540093,3.975
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2014,159.95,10.067437379576116,0.0379046901931801,9.051438867130008,16.120571741935272,52462.0,29.44000158528473,12.50138155657666,68.0175802497788,4.1725
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2015,165.96,3.7574241950609766,0.12642522211110396,7.971687264432125,16.110587686468563,53628.0,29.509000998509865,11.685561224274496,68.03681168474739,3.8475
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2016,181.1,9.122680163894902,-0.10288135195301029,6.858273382632674,14.86967979592955,56142.0,30.36326007846733,11.029193809852996,67.61558212844977,3.6550000000000002
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2017,193.74,6.979569298729982,0.35798909023303516,6.384782238541891,14.557473995459103,58411.0,31.083773402539578,10.415744154860263,68.88581617228921,3.9875
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2018,206.58,6.627438835552812,0.31161590001580475,5.625446161054914,14.31459751297893,60513.0,31.75422109253291,10.5690130360048,69.13179858840255,4.5425
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2019,217.41,5.242521057217542,-0.15747350825459083,5.275970819227704,12.630730463039091,63474.0,32.4025906280998,10.242358829203251,69.61833303305222,3.935
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2021,272.16,12.20316622691293,0.5275453053954382,8.020961103388121,13.35706899570348,67153.0,34.151728578219604,7.768558219501201,71.42630626862314,2.9575
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2022,290.49,6.7350088183421475,-0.44543154330667356,5.044667960601498,13.830495570272896,71265.0,34.5184498992403,8.03647010317887,71.48692699182341,5.3425
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2023,315.4,8.575166098660869,-0.079548783285599,4.958338342096981,13.623262284414896,72574.0,34.519976424223,8.476879873775546,72.07467855426096,6.805
19804,"Detroit-Dearborn-Livonia, MI (MSAD)",2024,331.58,5.129993658845922,1.342006455559086,4.943198879549321,14.137279409098442,76403.0,35.57771624844308,8.724939723900551,71.2983358908474,6.7225
20994,"Elgin, IL (MSAD)",2012,131.83,2.0119167375996394,0.19383368560517145,10.794273275092344,14.538870580914642,59261.0,34.793758223199575,9.699983476044611,64.82503926832214,3.655
